iter	Passed	Remaining
0	134	134153
1	135	67412
2	136	45288
3	136	34105
4	137	27411
5	138	22936
6	139	19734
7	139	17324
8	140	15464
9	141	13984
10	141	12763
11	142	11741
12	143	10882
13	144	10146
14	144	9507
15	145	8942
16	146	8446
17	146	8012
18	147	7617
19	147	7249
20	148	6917
21	148	6614
22	149	6338
23	149	6089
24	150	5879
25	151	5679
26	152	5493
27	152	5305
28	153	5133
29	153	4970
30	154	4817
31	154	4673
32	154	4540
33	155	4414
34	155	4295
35	156	4181
36	156	4075
37	157	3974
38	157	3878
39	157	3786
40	158	3700
41	158	3620
42	159	3542
43	159	3468
44	160	3396
45	160	3328
46	160	3262
47	161	3200
48	161	3141
49	162	3083
50	162	3028
51	163	2975
52	163	2925
53	164	2876
54	164	2829
55	165	2783
56	165	2741
57	166	2697
58	166	2656
59	167	2616
60	167	2577
61	167	2540
62	168	2503
63	168	2468
64	169	2433
65	169	2400
66	169	2367
67	170	2335
68	170	2304
69	171	2274
70	171	2244
71	172	2216
72	172	2189
73	172	2162
74	173	2136
75	173	2111
76	174	2086
77	174	2062
78	174	2038
79	175	2015
80	175	1994
81	176	1973
82	176	1949
83	176	1929
84	177	1909
85	177	1890
86	178	1871
87	178	1852
88	179	1834
89	179	1816
90	180	1799
91	180	1783
92	181	1766
93	181	1750
94	182	1735
95	182	1719
96	183	1703
97	183	1688
98	183	1673
99	184	1659
100	184	1644
101	185	1630
102	185	1616
103	186	1602
104	186	1589
105	186	1576
106	187	1564
107	187	1551
108	188	1539
109	188	1527
110	189	1515
111	189	1503
112	190	1491
113	190	1480
114	190	1469
115	191	1458
116	191	1446
117	192	1436
118	192	1426
119	193	1415
120	193	1405
121	193	1394
122	194	1384
123	194	1375
124	195	1365
125	195	1356
126	195	1346
127	196	1337
128	196	1328
129	197	1320
130	197	1311
131	198	1302
132	198	1294
133	198	1285
134	199	1277
135	199	1269
136	200	1261
137	200	1253
138	201	1245
139	201	1237
140	201	1229
141	202	1221
142	202	1213
143	202	1206
144	203	1199
145	203	1192
146	204	1185
147	204	1178
148	205	1171
149	205	1164
150	205	1157
151	206	1151
152	206	1144
153	207	1137
154	207	1131
155	207	1125
156	208	1119
157	208	1112
158	209	1106
159	209	1100
160	209	1094
161	210	1088
162	210	1082
163	211	1076
164	211	1071
165	212	1065
166	212	1060
167	212	1054
168	213	1049
169	213	1043
170	214	1038
171	214	1033
172	215	1028
173	215	1023
174	215	1017
175	216	1012
176	216	1007
177	217	1002
178	217	997
179	217	993
180	218	988
181	218	983
182	219	978
183	219	973
184	220	969
185	220	964
186	220	960
187	221	955
188	221	951
189	222	947
190	222	942
191	222	938
192	223	934
193	223	929
194	224	925
195	224	921
196	225	917
197	225	913
198	225	909
199	226	905
200	226	901
201	227	897
202	227	894
203	228	890
204	228	886
205	228	882
206	229	878
207	229	874
208	230	871
209	230	867
210	231	864
211	231	860
212	231	856
213	232	853
214	232	849
215	233	846
216	233	842
217	234	839
218	234	836
219	234	832
220	235	829
221	235	825
222	236	822
223	236	819
224	236	815
225	237	812
226	237	809
227	238	806
228	238	803
229	238	799
230	239	796
231	239	793
232	240	790
233	240	787
234	241	784
